0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:33:22 +0530] "GET /my-fashion-app/product.jsp?category=Tops HTTP/1.1" 200 35470
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:33:45 +0530] "GET /my-fashion-app/product.jsp?category=Tops HTTP/1.1" 200 35256
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:33:46 +0530] "GET /my-fashion-app/product.jsp?category=Tops HTTP/1.1" 200 35256
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:33:47 +0530] "GET /my-fashion-app/product.jsp?category=Tops HTTP/1.1" 200 35256
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:34:25 +0530] "GET /my-fashion-app/index.jsp HTTP/1.1" 200 55352
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:34:26 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:34:27 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 106891
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:34:37 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 106891
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:34:42 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 106891
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:35:18 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107105
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:46:26 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107401
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:47:28 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107411
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:47:47 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107412
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:49:38 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107475
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:51:29 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107344
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:51:58 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107396
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:56:50 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107501
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:57:53 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107527
0:0:0:0:0:0:0:1 - - [26/Jun/2024:14:59:18 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107602
0:0:0:0:0:0:0:1 - - [26/Jun/2024:15:00:03 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107613
0:0:0:0:0:0:0:1 - - [26/Jun/2024:15:01:03 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107612
0:0:0:0:0:0:0:1 - - [26/Jun/2024:15:04:27 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107788
0:0:0:0:0:0:0:1 - - [26/Jun/2024:15:08:09 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107971
0:0:0:0:0:0:0:1 - - [26/Jun/2024:15:08:39 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107972
0:0:0:0:0:0:0:1 - - [26/Jun/2024:15:08:53 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107971
0:0:0:0:0:0:0:1 - - [26/Jun/2024:15:09:13 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107972
0:0:0:0:0:0:0:1 - - [26/Jun/2024:15:10:13 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 107974
0:0:0:0:0:0:0:1 - - [26/Jun/2024:15:11:09 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 108020
0:0:0:0:0:0:0:1 - - [26/Jun/2024:15:12:12 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 108089
0:0:0:0:0:0:0:1 - - [26/Jun/2024:15:31:45 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 108121
0:0:0:0:0:0:0:1 - - [26/Jun/2024:15:32:30 +0530] "GET /my-fashion-app/product.jsp?category=all HTTP/1.1" 200 108121
